Downloaded from: https://gender-pay-gap.service.gov.uk/,,,,,,,,,,,,,,,,,,,,,,,,
Correct as of: 9th February 2020,,,,,,,,,,,,,,,,,,,,,,,,
EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted
FRED CHAMPION GROUNDWORKS LIMITED,"Doublebois Industrial Estate,
Doublebois,
Liskeard,
Cornwall,
PL14 6LE",3200045,43120,13.6,3.8,34,-150,15,69,92,8,95,5,99,1,95,5,,Jamie Roberts (Director),250 to 499,FRED CHAMPION GROUNDWORKS LIMITED,FALSE,05/04/2020 00:00,24/01/2020 15:53
Fresh Start Recruitment (UK) Ltd,"Innisdoon,
Crow Hill Drive,
Mansfield,
Nottinghamshire,
England,
NG19 7AE",5106224,78200,1,0,73,80,0.1,1.5,62,38,63,37,64,36,66,34,,Rob Jones (Finance Manager),500 to 999,FRESH START RECRUITMENT (UK) LTD,FALSE,05/04/2020 00:00,05/04/2019 09:35
FUJITSU SERVICES LIMITED,"22 Baker Street,
London,
W1U 3BW",96056,"58290,
62020,
62090,
95110",16.5,15.6,26.8,30.6,49.3,41.6,68.7,31.3,73.6,26.4,77.7,22.3,83.8,16.2,https://www.fujitsu.com/uk/about/local/corporate-responsibility/responsible-business-report/diversity-inclusion/pay-gap/,"Paul Patterson (SVP, Head of Northern and Western Europe)","5000 to 19,999",FUJITSU SERVICES LIMITED,FALSE,05/04/2020 00:00,16/01/2020 13:33
FURNICO FURNITURE LIMITED,"Bradford House,
Phillips Lane,
Colne,
Lancashire,
BB8 9PQ",3808156,"70100,
74990",14.7,17.8,8.7,36,89,90.1,61.8,38.2,55.8,44.2,84.2,15.8,83.1,16.9,,Nigel Ramsey (Financial Director),250 to 499,FURNICO FURNITURE LIMITED,FALSE,05/04/2020 00:00,29/01/2020 10:56
FUSION LIFESTYLE,"4 Bickels Yard,
151-153 Bermondsey Street,
London,
SE1 3HA",5324416,93120,-16,-27,nan,,0,0,43,57,47,53,36,64,27,73,https://www.fusion-lifestyle.com/about-fusion/gender-pay-gap/,Peter Kay (CEO),1000 to 4999,FUSION LIFESTYLE,FALSE,05/04/2020 00:00,28/01/2020 10:54
FUTURE ACADEMIES,"Pimlico Academy,
Lupus Street,
London,
SW1V 3AT",6543442,"85200,
85310",10.4,8,80.5,94.7,3.7,4,19.9,80.1,30.5,69.5,30.5,69.5,41.4,58.6,https://www.futureacademies.org/page/?title=Key+Documents+%26amp%3B+Policies&pid=14,None,500 to 999,FUTURE ACADEMIES,FALSE,31/03/2020 00:00,05/02/2020 09:45
FUTURE SCHOOLS TRUST,"Cornwallis Academy Hubbards Lane,
Boughton Monchelsea,
Maidstone,
Kent,
ME17 4HX",6272751,"85100,
85200,
85310",12.2,14.2,nan,,0,0,22.5,77.5,24.7,75.3,23.8,76.2,38.3,61.7,https://www.futureschoolstrust.com/_site/data/files/docs/2020/913E251FB0053B8DB33A29AE88B512BE.pdf,None,250 to 499,FUTURE SCHOOLS TRUST,FALSE,31/03/2020 00:00,27/01/2020 08:47
G S M AUTOMOTIVE LIMITED,"Castlegarth Works,
Masonic Lane,
Thirsk,
North Yorkshire,
YO7 1PS",4236571,25990,25,20.5,67.5,75,6.1,1.7,50,50,37.9,62.1,55,45,77,23,,Andrew Farthing (Chief Executive Officer),250 to 499,G S M AUTOMOTIVE LIMITED,FALSE,05/04/2020 00:00,31/10/2019 09:35
GAIL'S LIMITED,"Unit 12 Garrick Road Industrial Estate,
Irving Way,
Hendon,
London,
NW9 6AQ",6055393,56101,6,1,3,22,15,11,19,81,47,53,37,63,45,55,,Marta Pogroszewska (Managing Director),500 to 999,GAIL'S LIMITED,FALSE,05/04/2020 00:00,29/01/2020 17:00
GALLIARD HOMES LIMITED,"3rd Floor,
Sterling House Langston Road,
Loughton,
Essex,
IG10 3TS",2158998,41100,31.1,26.3,73.5,-21.2,97.3,99.3,51.9,48.1,61.1,38.9,76.9,23.1,85,15,https://www.galliardhomes.com,Allan Porter (Finance Director),250 to 499,GALLIARD HOMES LIMITED,FALSE,05/04/2020 00:00,07/10/2019 10:22
GARDLINE LIMITED,"Endeavour House, Admiralty Road,
Great Yarmouth,
Norfolk,
NR30 3NG",4589821,74909,23,28.5,58.3,33.9,10.7,11.3,63.1,36.9,70.3,29.7,84.6,15.4,86.4,13.6,http://www.gardline.com/assets/cms_page_media/33/Gender%20Pay%20Gap%20Report%202019.pdf,Christiaan Vermeijden (CEO),250 to 499,GARDLINE LIMITED,FALSE,05/04/2020 00:00,22/07/2019 14:11
GEAR4MUSIC LIMITED,"Holgate Park Drive,
York,
United Kingdom,
YO26 4GN",3113256,"47591,
47990",6.5,-10.3,nan,,0,0,82.5,17.5,80.2,19.8,69.1,30.9,81.2,18.8,http://www.gear4musicplc.com/about-us/gender-pay-gap-report/,MARK DEOWENELEY (Head of Finance),250 to 499,GEAR4MUSIC LIMITED,FALSE,05/04/2020 00:00,06/02/2020 11:06
Gedling Borough Council,"Civic Centre,
Arnot Hill Park,
Arnold,
Nottingham,
Nottinghamshire,
United Kingdom,
NG5 6LU",,"1,
84110",1.3,0,1.7,1.8,1.1,0.7,49.3,50.7,48.3,51.7,47.3,52.7,49.7,50.3,https://www.gedling.gov.uk/council/aboutus/financeandaccounts/opendata/genderpaygapdata/,None,250 to 499,Gedling Borough Council,FALSE,31/03/2020 00:00,11/10/2019 13:21
General Medical Council,"3 Hardman Street,
Manchester,
M3 3AW",,"1,
84120",14,6.7,58.5,20,36.8,41.3,33.3,66.7,33.3,66.7,38.5,61.5,44.7,55.3,,None,1000 to 4999,General Medical Council,FALSE,31/03/2020 00:00,22/01/2020 11:02
GENERATE FS LIMITED,"Unit 3 New Concordia Wharf,
Mill Street,
London,
England,
SE1 2BB",8245483,78200,4.6,0,10.2,-15.7,92.3,92.1,28,72,31.8,68.2,33.8,66.2,30.7,69.3,https://generate-fs.co.uk/doc-library/,Robbie Smith (Finance Director),1000 to 4999,GENERATE FS LIMITED,FALSE,05/04/2020 00:00,20/01/2020 13:08
GEODIS FF UNITED KINGDOM LTD.,"Lhr1 145 Faggs Road,
Feltham,
Middlesex,
TW14 0LZ",621547,"49410,
50200,
51210,
52290",25,-0.2,71,29,19,9,66,34,55,45,47,53,72,28,https://intranet.ff.geodis.com/Interact/Pages/Content/Document.aspx?id=21764,Claire Alden (HR Manager),250 to 499,GEODIS FF UNITED KINGDOM LTD.,FALSE,05/04/2020 00:00,11/04/2019 17:45
GFK U.K. LIMITED,"Legal Dept, Level 18 25 Canada Square,
Canary Wharf,
London,
E14 5LQ",2512551,73200,34.3,32.5,88.1,0,15.3,11.1,42.3,57.7,43.2,56.8,58.6,41.4,77.7,22.3,https://www.gfk.com/fileadmin/user_upload/dyna_content/GB/documents/Quality_and_compliance/2019_gender_pay_gap.pdf,Anthony Norman (Commercial Director),250 to 499,GFK U.K. LIMITED,FALSE,05/04/2020 00:00,31/12/2019 12:15
GIRLS' LEARNING TRUST,"Nonsuch High School For Girls Ewell Road,
Cheam,
Sutton,
Surrey,
SM3 8AB",7627961,85310,9.5,15.4,nan,,0,0,15.8,84.2,22.8,77.2,16.8,83.2,32.7,67.3,,None,250 to 499,GIRLS' LEARNING TRUST,FALSE,31/03/2020 00:00,24/01/2020 11:03
GLASSWELLS LIMITED,"Glasswells,
Newmarket Road,
Bury St Edmunds,
Suffolk, Ip33 3tu,
United Kingdom,
IP33 3TU",602166,"47530,
47599,
52103",26.4,17.5,72.3,56.5,99.2,97.3,22,78,36.7,63.3,50,50,71.7,28.3,https://www.glasswells.co.uk/gender-pay-gap/,Paul Glasswell (Managing Director),250 to 499,GLASSWELLS LIMITED,FALSE,05/04/2020 00:00,24/01/2020 13:05
GLEN CLEANING COMPANY LIMITED,"Ground Floor,
2 Britannia Buildings,
Merchants Road Hotwells,
Bristol,
BS8 4QD",1582924,81210,17.4,0,81,0,2,1.4,31,69,26,74,24,76,29,71,http://www.glencleaning.co.uk/about-us/gender-pay-gap/,David Seaton (Chairman),1000 to 4999,GLEN CLEANING COMPANY LIMITED,FALSE,05/04/2020 00:00,20/12/2019 09:21
GLH HOTELS LIMITED,"110 Central Street,
London,
England,
EC1V 8AJ",262958,70100,4.6,5.3,34.3,-13,5.2,4.4,45,55,59,41,60,40,55,45,,Debbie Moore (Group HR Director),1000 to 4999,GLH HOTELS LIMITED,FALSE,05/04/2020 00:00,04/02/2020 15:26
Gloucestershire Care Services Nhs Trust,"1010 Pioneer Avenue,
Brockworth,
Gloucester,
Gloucestershire,
United Kingdom,
GL3 4AW",,"1,
86210",12.3,0,72,83.9,0.3,0.1,11.2,88.8,9.6,90.4,7.9,92.1,13.2,86.8,https://www.glos-care.nhs.uk/,None,1000 to 4999,Gloucestershire Care Services Nhs Trust,FALSE,31/03/2020 00:00,12/07/2019 14:53
GOOD ENERGY LIMITED,"Monkton Reach,
Monkton Hill,
Chippenham,
SN15 1EE",3899612,35140,27,33,43,53,87,83,35,65,33,67,51,49,72,28,https://www.goodenergy.co.uk/about-us/gender-pay/,Juliet Davenport (CEO & Founder),250 to 499,GOOD ENERGY LIMITED,FALSE,05/04/2020 00:00,05/02/2020 09:37
Gosforth Federated Academies Limited,"Knightsbridge,
Great North Road,
Newcastle upon Tyne,
Ne3 2JH",,1,14.7,22.5,nan,,0,0,27.1,72.9,34.4,65.6,29.2,70.8,44.8,55.2,http://www.gosforthacademy.org.uk/#&panel1-1,None,500 to 999,Gosforth Federated Academies Limited,FALSE,31/03/2020 00:00,23/08/2019 12:21
Grace Academy,"Sponne School,
Brackley Road,
Towcester,
England,
NN12 6DJ",4967658,"1,
85310",12.1,0.2,nan,,0,0,29,71,30,70,25,75,34,66,,None,250 to 499,GRACE ACADEMY,FALSE,31/03/2020 00:00,28/06/2019 11:03
GRAVESHAM COMMUNITY LEISURE LIMITED,,IP28949R,,-13.1,-8.5,nan,,0,0,44.9,55.1,25.7,74.3,14.3,85.7,17.1,82.9,http://www.gcllstaff.co.uk/wp-content/uploads/2016/04/Report-2019.pdf,Helen Lake (Head of HR),250 to 499,GRAVESHAM COMMUNITY LEISURE LIMITED,FALSE,05/04/2020 00:00,24/05/2019 11:51
GRAY & ADAMS HOLDINGS LIMITED,"South Road,
South Road,
Fraserburgh,
Aberdeenshire,
Scotland,
AB43 9HU",SC369620,29202,14.9,12,51,-20,88,77.6,81.6,18.4,97.8,2.2,96.2,3.8,88.1,11.9,https://gray-adams.com,MARK GRANT (GROUP FINANCE DIRECTOR),250 to 499,GRAY & ADAMS HOLDINGS LIMITED,FALSE,05/04/2020 00:00,03/06/2019 15:01
GRAY & ADAMS LIMITED,"Gray & Adams,
South Road,
Fraserburgh,
Scotland,
AB43 9HU",SC047482,29202,17.6,8.1,64.3,0,85.2,73.8,79.8,20.2,100,0,96.6,3.4,88.1,11.9,https://gray-adams.com,MARK GRANT (GROUP FINANCE DIRECTOR),250 to 499,GRAY & ADAMS LIMITED,FALSE,05/04/2020 00:00,03/06/2019 14:59
Greater London Authority,"City Hall,
110 The Queens Walk,
London,
SE1 2AA",,"1,
84110",5.1,0.8,54.5,52.3,44,56,41,59,39,61,40,60,49,51,https://www.london.gov.uk/about-us/governance-and-spending/spending-money-wisely/gender-pay-gap-report-march-2019-data,None,1000 to 4999,Greater London Authority,FALSE,31/03/2020 00:00,06/12/2019 16:38
GREENCROFT BOTTLING COMPANY  LIMITED,"Unit 1 Greencroft Estate,
Tower Road Annfield Plain,
Stanley,
County Durham,
DH9 7XP",4768870,"46342,
82920",5.2,4,9.1,0,84,86,84,16,83,17,83,17,84,16,https://www.greencroftbottling.com/,Mark Satchwell (Managing Director),250 to 499,GREENCROFT BOTTLING COMPANY LIMITED,FALSE,05/04/2020 00:00,23/04/2019 16:11
GREGORY PARK HOLDING LIMITED,"8 Sackville Street,
London,
England,
W1S 3DG",5124555,55100,5.1,6.7,-2.5,18.3,63.9,61.9,47.3,52.7,50,50,62.2,37.8,54.1,45.9,,Nicki Johnston (Reginal Director of Human Resources),250 to 499,GREGORY PARK HOLDING LIMITED,FALSE,05/04/2020 00:00,06/12/2019 18:06
Grimsby Institute,"Nuns Corner,
Grimsby,
South Humberside,
United Kingdom,
DN34 5BQ",,"1,
85320",10.1,19.5,32.8,26.3,1.3,0.3,33,67,29.5,70.5,39.9,60.1,48.1,51.9,,None,1000 to 4999,Grimsby Institute,FALSE,31/03/2020 00:00,24/10/2019 16:15
GROSVENOR CLEANING SERVICES LIMITED,"The Lodge,
10 Algitha Road,
Skegness,
Lincolnshire,
PE25 2AG",2601775,"81210,
81229,
81299",1.3,19.9,2,0,1.2,1.2,11.3,88.7,14,86,24.5,75.5,44.3,55.7,http://www.grosvenorservices.com/the-grosvenor-story/working-at-grosvenor,Brian Solan (Head of HR),250 to 499,GROSVENOR CLEANING SERVICES LIMITED,FALSE,05/04/2020 00:00,08/08/2019 13:12
G-TEKT EUROPE MANUFACTURING LIMITED,"Gloucester Business Park,
Golf Club Lane, Brockworth,
Gloucester,
Gloucestershire,
GL3 4AJ",3249892,29201,12.3,0,32.4,35.2,84.2,76.7,76.3,23.7,82.9,17.1,81.4,18.6,91.7,8.3,,Bernard Twyman (Finance Manager),500 to 999,G-TEKT EUROPE MANUFACTURING LIMITED,FALSE,05/04/2020 00:00,22/01/2020 11:59
GUARDIAN NEWS & MEDIA LIMITED,"Kings Place,
90 York Way,
London,
N1P 2AP,
68164",908396,58130,11,4.9,27.5,2.8,9.1,11.8,37,63,53,47,54,46,63,37,https://uploads.guim.co.uk/2019/07/02/GNM_genderpayreport_2019_FINAL.pdf,Suzy Black (Group HR Director),1000 to 4999,GUARDIAN NEWS & MEDIA LIMITED,FALSE,05/04/2020 00:00,02/07/2019 14:24
GUEST MOTORS LIMITED,"Kenrick Way,
West Bromwich,
West Midlands,
B70 6BY",585041,"45111,
45190,
45200,
45320",22.1,15.7,74.2,54,42.1,30.6,83.1,16.9,70.4,29.6,85.9,14.1,91.5,8.5,http://www.guesttruckandvan.co.uk/gender-pay-gap-report/?manufacturer=iveco,Richard Barron (Financial Director),250 to 499,GUEST MOTORS LIMITED,FALSE,05/04/2020 00:00,29/01/2020 08:59
H M Government Cabinet Office,"The White Chapel Building,
London,
London,
E1 8QS",,"1,
84110",10.3,8.8,16.1,0,62,63,43.4,56.6,46,54,44.4,55.6,54.5,45.5,https://www.gov.uk/government/publications/gender-pay-gap-report-2019,None,"5000 to 19,999",H M Government Cabinet Office,FALSE,31/03/2020 00:00,23/01/2020 12:13
H+H UK LIMITED,"Celcon House,
Ightham,
Sevenoaks,
Kent,
TN15 9HZ",247647,23610,2.5,5.8,39.4,-3.8,92.1,97.1,84.1,15.9,85.7,14.3,96.8,3.2,80.9,19.1,https://www.hhcelcon.co.uk/our-policies,Calum Forsyth (Managing Director),250 to 499,H+H UK LIMITED,FALSE,05/04/2020 00:00,03/01/2020 10:59
HA HA BAR AND GRILL LIMITED,"27 Fleet Street,
Birmingham,
B3 1JP",6295359,56101,2.9,1.5,6.4,7.1,89,87.9,51.5,48.5,63.7,36.3,62.9,37.1,57.7,42.3,https://www.mbplc.com/investors/businessconduct/genderpaygapreporting/,Craig Provett (Director of Compensation & Benefits),500 to 999,HA HA BAR AND GRILL LIMITED,FALSE,05/04/2020 00:00,30/12/2019 12:31
HACHETTE UK LIMITED,"Carmelite House,
50 Victoria Embankment,
London,
EC4Y 0DZ",2020173,58110,25.9,18.4,68,23.3,91.3,91.9,19.3,80.7,20.3,79.7,27.3,72.7,37.5,62.5,,David Shelley (Chief Executive Officer),1000 to 4999,HACHETTE UK LIMITED,FALSE,05/04/2020 00:00,07/01/2020 16:05
Hadlow College,"Hadlow College,
Hadlow,
Tonbridge,
TN110AL",,"1,
85310",17.6,12.8,nan,,0,0,21,79,26.4,73.6,31.4,68.6,41.5,58.5,,None,250 to 499,Hadlow College,FALSE,31/03/2020 00:00,30/01/2020 10:02
HALL CLEANING SERVICES LIMITED,"Knowsley Business Park,
Caddick Road,
Prescot,
Merseyside,
L34 9HP",1545130,96090,0.2,0,0,0,0.4,0.4,19.2,80.8,19.2,80.8,19.2,80.8,19.2,80.8,https://hallcleaning.uk/gender-pay-gap-report,Allan Ashurst (Director),250 to 499,HALL CLEANING SERVICES LIMITED,FALSE,05/04/2020 00:00,03/07/2019 16:18
HALO LEISURE SERVICES LIMITED,"Halo Support Centre,
Lion Yard Broad Street,
Leominster,
Herefordshire,
HR6 8BT",4335715,93110,8,7,nan,,0,0,45,55,44,56,34,66,29,71,https://haloleisure.org.uk/,Scott Rolfe (Chief Executive Officer),500 to 999,HALO LEISURE SERVICES LIMITED,FALSE,05/04/2020 00:00,09/10/2019 11:38
HALTON HOUSING,,RS007744,,-1,-12.5,0.5,0,90.2,88.4,55.1,44.9,60.3,39.7,46.2,53.8,61.5,38.5,https://www.haltonhousing.org/resources/gender-pay-gap-review-2019/,Natalie O'Hara (Director of HR & OD),250 to 499,HALTON HOUSING,FALSE,05/04/2020 00:00,31/10/2019 14:16
Hambleton District Council,"Civic Centre,
Northallerton,
North Yorkshire,
United Kingdom,
DL6 2UU",,"1,
84110",-5.9,-8.3,nan,,0,0,47.9,52.1,49.2,50.8,45.4,54.6,38.5,61.5,,None,500 to 999,Hambleton District Council,FALSE,31/03/2020 00:00,19/12/2019 12:49
HAMMERSMITH MEDICINES RESEARCH LIMITED,"44 Cumberland Avenue,
London,
NW10 7EW",2779946,72190,15.8,8,nan,,0,0,23,77,31,69,32,68,33,67,,Amritpal Veerpal (Payroll and Pensions Officer),250 to 499,HAMMERSMITH MEDICINES RESEARCH LIMITED,FALSE,05/04/2020 00:00,31/07/2019 13:21
HARD ROCK CAFE (UK) LIMITED,"Cannon Place, 78 Cannon Street,
London,
England,
EC4N 6AF",1924059,56101,-0.2,2.5,-15.9,-3.3,15.8,25.2,59.4,40.6,61,39,70.5,29.5,61.9,38.1,https://www.hardrockcafe.com/location/glasgow/files/5372/Gender_Pay_Gap_Reporting_Statement_2019.pdf,Debbie Galbraith (Senior Director of HR - UK & Europe),250 to 499,HARD ROCK CAFE (UK) LIMITED,FALSE,05/04/2020 00:00,24/10/2019 12:23
HARGREAVES (UK) SERVICES LIMITED,"West Terrace Esh Winning,
Durham,
DH7 9PT",3735251,"46720,
49410",16.9,1.8,68.6,100,56.9,59.1,88.8,11.2,82.5,17.5,86.3,13.7,87.5,12.5,https://www.hsgplc.co.uk/media/112960/Gender-Pay-Gap-Reporting-April19.pdf,Gayle Mulvaney (Group Treasurer),250 to 499,HARGREAVES (UK) SERVICES LIMITED,FALSE,05/04/2020 00:00,10/12/2019 16:23
HARGREAVES INDUSTRIAL SERVICES LIMITED,"Hargreaves Services Plc,
West Terrace,
Esh Winning,
Durham,
DH7 9PT",2307132,"70229,
78200",14.7,26.6,2.1,-17.1,16.8,14.3,86.1,13.9,92.8,7.2,97.4,2.6,94.8,5.2,https://www.hsgplc.co.uk/media/112960/Gender-Pay-Gap-Reporting-April19.pdf,Gayle Mulvaney (Group Treasurer),500 to 999,HARGREAVES INDUSTRIAL SERVICES LIMITED,FALSE,05/04/2020 00:00,10/12/2019 16:33
Harper Adams University,"Harper Adams University,
Edgmond,
Newport,
Shropshire,
TF10 8NB",8049710,"1,
1,
85421,
85422,
85590",26.2,34.2,nan,,0,0,23.2,76.8,28.4,71.6,42.3,57.7,57.7,42.3,https://www.harper-adams.ac.uk/general/governance/publication-scheme.cfm,None,500 to 999,HARPER ADAMS UNIVERSITY,FALSE,31/03/2020 00:00,19/12/2019 16:53
HARPERCOLLINS PUBLISHERS LIMITED,"103 Westerhill Road,
Bishopbriggs,
Glasgow,
G64 2QT",SC027389,"58110,
82990",16.3,8.8,51.3,15.9,89,83,36,64,28,72,34,66,42,58,https://www.harpercollins.co.uk/corporate/press-releases/harpercollins-gender-pay-gap-report-2019/,John Athanasiou (Director of People),500 to 999,HARPERCOLLINS PUBLISHERS LIMITED,FALSE,05/04/2020 00:00,28/11/2019 09:07
HARROW GREEN LIMITED,"2 Oriental Road,
London,
E16 2BZ",1742531,"49420,
52103",-25.1,-51.9,32.8,-100,31.9,69.4,96.8,3.2,100,0,79.2,20.8,72.6,27.4,,Paul Hewitson (HR Advisor),250 to 499,HARROW GREEN LIMITED,FALSE,05/04/2020 00:00,04/02/2020 09:27
HARRY FAIRBAIRN LIMITED,"454 Hillington Road,
Glasgow,
Scotland,
G52 4FH",SC043023,"45111,
45112,
45200",14.3,10.4,48.2,38.6,93.2,96.2,78.3,21.7,60.9,39.1,75,25,84.6,15.4,https://www.arnoldclark.com/gender-pay-gap-report,Carol Henry (Group People Director),250 to 499,HARRY FAIRBAIRN LIMITED,FALSE,05/04/2020 00:00,31/12/2019 15:47
Hartwell PLC,"Wootton Business Park,
Besselsleigh Road,
Wootton,
Oxon,
England,
OX13 6FD",155302,70100,24.6,16.8,67.2,68.2,73.1,61.2,71.8,28.2,64.7,35.3,77.6,22.4,87,13,,Andrew Lemon (Finance Director),500 to 999,HARTWELL PLC,FALSE,05/04/2020 00:00,02/08/2019 11:14
HAYLEY GROUP LIMITED,"Shelah Road,
Halesowen,
West Midlands,
B63 3XL",1257303,46690,22.4,13.3,67.1,-60,94.8,93.3,79.2,20.8,74.3,25.7,80.3,19.7,92.9,7.1,http://www.hayley-group.co.uk,Garth Brinton (Financial Director),500 to 999,HAYLEY GROUP LIMITED,FALSE,05/04/2020 00:00,07/12/2019 10:12
HBOS PLC,"The Mound,
Edinburgh,
EH1 1YZ",SC218813,64205,25.7,28,55.7,37.3,96.9,97.1,23.5,76.5,33,67,43.7,56.3,57.5,42.5,https://www.lloydsbankinggroup.com/globalassets/our-group/responsible-business/reporting-centre/lloyds-banking-group-gender-pay-gap-report-2019.pdf,Jen Tippin (Group People & Productivity Director),"20,000 or more",HBOS PLC,FALSE,05/04/2020 00:00,19/12/2019 13:24
HCP SOCIAL INFRASTRUCTURE (UK) LIMITED,"8 White Oak Square,
London Road,
Swanley,
Kent,
BR8 7AG",2658304,"70221,
74909",37.4,45.3,34,50,72.5,83.4,14.1,85.9,32.9,67.1,61.8,38.2,73.7,26.3,https://hcp.co.uk/wp-content/uploads/2020/01/HCP-Gender-Pay-Gap-Report-April-2019-3-Dec-19.pdf,Bill Bourne (HR Director),250 to 499,HCP SOCIAL INFRASTRUCTURE (UK) LIMITED,FALSE,05/04/2020 00:00,03/02/2020 14:32
HEALING MULTI ACADEMY TRUST,"Low Road,
Healing,
Grimsby,
North East Lincolnshire,
DN41 7QD",7345756,"85200,
85310",32,59.3,nan,,0,0,3,97,11,89,16,84,24,76,https://www.healingmultiacademytrust.co.uk/gender-pay-gap-reporting/,None,250 to 499,HEALING MULTI ACADEMY TRUST,FALSE,31/03/2020 00:00,15/01/2020 13:07
HEALTH-ON-LINE COMPANY UK LIMITED,"5 Old Broad Street,
London,
EC2N 1AD",3655704,66220,23.8,28.3,22.7,34.2,56.8,34.3,35,65,41.5,58.5,61.5,38.5,72.6,27.4,,Mike Dalby (Managing Director),250 to 499,HEALTH-ON-LINE COMPANY UK LIMITED,FALSE,05/04/2020 00:00,07/02/2020 10:02
HELSTON GARAGES GROUP (MANAGEMENT) LIMITED,"85 Meneage Street,
Helston,
Cornwall,
TR13 8RD",2113367,70100,20.3,15.8,69.1,76.3,74.5,69.8,78.2,21.8,65.3,34.7,86.6,13.4,95.4,4.6,https://www.helstongarages.co.uk,Jonathan Glanville (Financial Director),1000 to 4999,HELSTON GARAGES GROUP (MANAGEMENT) LIMITED,FALSE,05/04/2020 00:00,12/09/2019 15:50
Her Majesty's Land Registry,"Trafalgar House,
1 Bedford Park,
Croydon,
CR0 2AQ",,"1,
84110",8.4,14.6,7.8,0,86.1,86.2,37.9,62.1,28.8,71.2,40.6,59.4,51.4,48.6,https://www.gov.uk/government/publications/hm-land-registry-gender-pay-gap-report-and-data-2019,None,"5000 to 19,999",Her Majesty's Land Registry,FALSE,31/03/2020 00:00,30/01/2020 12:51
Hertsmere Borough Council,"Elstree Way,
Borehamwood,
Hertfordshire,
United Kingdom,
WD6 1WA",,"1,
84110",-3.3,-12.7,-21.7,0,51.6,50.7,70.4,29.6,43.7,56.3,38.6,61.4,47.9,52.1,https://www.hertsmere.gov.uk/Documents/11-Your-Council/Official-Publications--Guides--Policies/Gender-Pay-Gap-Report-for-Publishing-2019.docx,None,250 to 499,Hertsmere Borough Council,FALSE,31/03/2020 00:00,30/01/2020 12:49
HFH HEALTHCARE LIMITED,"Tuition House St. George's Road,
Wimbledon,
London,
England,
SW19 4EU",7413577,82990,14,11,nan,,0,0,15,85,23,77,25,75,31,69,,MOHAMED ABDELHALIM (Head of HR),500 to 999,HFH HEALTHCARE LIMITED,FALSE,05/04/2020 00:00,17/12/2019 14:12
HIGH LIFE HIGHLAND,"13 Ardross Street,
Inverness,
IV3 5NS",SC407011,"85510,
85520,
91011,
93110",7.3,0,nan,,0,0,28,72,36,64,36,64,40,60,https://www.highlifehighland.org/about/governance/,Steve Walsh (Chief Executive),500 to 999,HIGH LIFE HIGHLAND,FALSE,05/04/2020 00:00,06/11/2019 09:26
HIGHLAND HOME CARERS LIMITED,"3 Stadium Road,
Inverness,
Highland,
IV1 1FF",SC203954,82990,2,-3,3,0,100,100,23,77,12,88,14,86,7,93,http://www.highlandhomecarers.co.uk,Campbell Mair (Managing Director),250 to 499,HIGHLAND HOME CARERS LIMITED,FALSE,05/04/2020 00:00,30/01/2020 15:44
HIGHTOWN HOUSING ASSOCIATION LIMITED,"Hightown House,
Maylands Avenue,
Hemel Hempstead Industrial Est,
Hemel Hempstead,
Hertfordshire,
United Kingdom,
HP2 4XH",IP18077R,,11,2,19,0,49,44,29,71,26,74,30,70,24,76,https://www.hightownha.org.uk/about-us/gender-pay-gap-report/,David Bogle (Chief Executive),1000 to 4999,HIGHTOWN HOUSING ASSOCIATION LIMITED,FALSE,05/04/2020 00:00,29/01/2020 13:54
HISCOX UNDERWRITING GROUP SERVICES LIMITED,"1 Great St Helens,
London,
EC3A 6HX",4137419,94110,26.1,22.6,61,31,90,87,51,49,45,55,59,41,70,30,https://www.hiscoxgroup.com/sites/group/files/documents/2019-12/Hiscox-gender-pay-report-2019.pdf,Bronek Masojada (Group Chief Executive Officer),1000 to 4999,HISCOX UNDERWRITING GROUP SERVICES LIMITED,FALSE,05/04/2020 00:00,18/12/2019 10:40
Historic England,"The Engine House,
Firefly Avenue,
Swindon,
Wiltshire,
United Kingdom,
SN2 2EH",,91020,11,12.6,-0.8,1,21.5,24.3,25.5,74.5,39.9,60.1,53.1,46.9,52.2,47.8,https://historicengland.org.uk/about/who-we-are/heritage-belongs-to-everyone/,Tom Godbehere (Head of Human Resources),500 to 999,Historic England,FALSE,05/04/2020 00:00,21/11/2019 09:11
HITACHI CAPITAL (UK) PLC,"Hitachi Capital House,
Thorpe Road,
Staines-Upon-Thames,
Surrey,
TW18 3HP",1630491,"64910,
64921,
64992",31.9,37.9,58.7,39.9,72.3,76.7,23.8,76.2,38.2,61.8,51.8,48.2,72.7,27.3,https://www.hitachicapital.co.uk/media/3011/hitachi-capital-uk-gender-pay-gap-report-2019.pdf,Robert Gordon (CEO),1000 to 4999,HITACHI CAPITAL (UK) PLC,FALSE,05/04/2020 00:00,04/10/2019 08:13
